Property ID in AVL packet|Property Name|Bytes|Type|Min|Max|Multiplier|Units|Description|HW Support|Parameter Group
239|Ignition|1|Unsigned|0|1|-|-|\n0 – Ignition Off\n\n1 – Ignition On|\n\nFMBXXX\n|Permanent I/O Elements
240|Movement|1|Unsigned|0|1|-|-|\n0 – Movement Off\n\n1 – Movement On|\n\nFMBXXX\n|Permanent I/O elements
80|Data Mode|1|Unsigned|0|5|-|-|\n0 – Home On Stop\n\n1 – Home On Moving\n\n2 – Roaming On Stop\n\n3 – Roaming On Moving\n\n4 – Unknown On Stop\n\n5 – Unknown On Moving|\n\nFMBXXX\n|Permanent I/O Elements
21|GSM Signal|1|Unsigned|0|5|-|-|\nValue in range 1-5 Explanation|\n\nFMBXXX\n\n|Permanent I/O Elements
200|Sleep Mode|1|Unsigned|0|4|-|-|\n0 - No Sleep\n\n1 – GPS Sleep\n\n2 – Deep Sleep\n\n3 – Online Sleep\n\n4 - Ultra Sleep|\n\nFMBXXX\n\n|Permanent I/O Elements
69|GNSS Status|1|Unsigned|0|3|-|-|\n0 - GNSS OFF\n\n1 – GNSS ON with fix\n\n2 - GNSS ON without fix\n\n3 - GNSS sleep\n\n4 - GNSS ON with fix, invalid data|\n\nFMBXXX\n\n|Permanent I/O Elements
181|GNSS PDOP|2|Unsigned|0|500|0.1||Coefficient, calculation formula|\n\nFMBXXX\n\n|Permanent I/O Elements
182|GNSS HDOP|2|Unsigned|0|500|0.1||Coefficient, calculation formula|\n\nFMBXXX\n\n|Permanent I/O Elements
66|External Voltage|2|Unsigned|0|65535|0.001|V|\nVoltage|\n\nFMBXXX\n\n|Permanent I/O elements
24|Speed|2|Unsigned|0|350|-|km/h|\nGNSS Speed|\n\nFMBXXX\n\n|Permanent I/O elements
205|GSM Cell ID|2|Unsigned|0|65535|-|-|\nGSM base station ID|\n\nFMBXXX\n\n|Permanent I/O elements
206|GSM Area Code|2|Unsigned|0|65535|-|-|\nLocation Area code (LAC), it depends on GSM operator. It provides unique number which assigned to a set of base GSM stations.|\n\nFMBXXX\n\n|Permanent I/O elements
67|Battery Voltage|2|Unsigned|0|65535|0.001|V|\nVoltage|\n\nFMBXXX\n\n|Permanent I/O elements
68|Battery Current|2|Unsigned|0|65535|0.001|A|\nCurrent|\n\nFMBXXX\n\n|Permanent I/O elements
241|Active GSM Operator|4|Unsigned|0|4294967295|-|-|\nCurrently used GSM Operator code|\n\nFMBXXX\n\n|Permanent I/O elements
199|Trip Odometer|4|Unsigned|0|2147483647|-|m|\nTrip Odometer value|\n\nFMBXXX\n\n|Permanent I/O elements
16|Total Odometer|4|Unsigned|0|2147483647|-|-|\nTotal Odometer value in meters|\n\nFMBXXX\n\n|Permanent I/O elements
1|Digital Input 1|1|Unsigned|0|1|-|-|\nLogic: 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
9|Analog Input 1|2|Unsigned|0|65535|0.001|V|\nVoltage|\n\nFMBXXX\n\n|\nPermanent I/O elements
179|Digital Output 1|1|Unsigned|0|1|-|-|\nLogic: 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
12|Fuel Used GPS|4|Unsigned|0|4294967295|0.001|l|\nFuel Used|\n\nFMBXXX\n\n|Permanent I/O elements
13|Fuel Rate GPS|2|Unsigned|0|32767|0.01|l/100km|\nAverage Fuel Use|\n\nFMBXXX\n\n|Permanent I/O elements
17|Axis X|2|Signed|-8000|8000|-|mG|\nX axis value|\n\nFMBXXX\n\n|Permanent I/O elements
18|Axis Y|2|Signed|-8000|8000|-|mG|\nY axis value|\n\nFMBXXX\n\n|Permanent I/O elements
19|Axis Z|2|Signed|-8000|8000|-|mG|\nZ axis value|\n\nFMBXXX\n\n|Permanent I/O elements
11|ICCID1|8|Unsigned|0|0xffffffffffffffff|-|-|\nValue of SIM ICCID, MSB|\n\nFMBXXX\n\n|Permanent I/O elements
10|SD Status|1|Unsigned|0|1|-|-|\n0 - not present\n1 - present|\n\nFMBXXX\n\n|Permanent I/O elements
2|Digital Input 2|1|Unsigned|0|1|-|-|\nLogic: 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
3|Digital Input 3|1|Unsigned|0|1|-|-|\nLogic: 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
6|Analog Input 2|2|Unsigned|0|65535|0.001|V|\nVoltage|\n\nFMBXXX\n\n|Permanent I/O elements
180|Digital Output 2|1|Unsigned|0|1|-|-|Logic 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
72|Dallas Temperature 1|4|Signed|-550|1150|0.1|°C|Degrees ( °C ), -55 - +115,\nif 850 – Sensor not ready\n\nif 2000 – Value read error\n\nif 3000 – Not connected\n\nif 4000 – ID failed\n\nif 5000 – same as 850|\n\nFMBXXX\n\n|Permanent I/O elements
73|Dallas Temperature 2|4|Signed|-550|1150|0.1|°C|Degrees ( °C ), -55 - +115,\nif 850 – Sensor not ready\n\nif 2000 – Value read error\n\nif 3000 – Not connected\n\nif 4000 – ID failed\n\nif 5000 – same as 850|\n\nFMBXXX\n\n|Permanent I/O elements
74|Dallas Temperature 3|4|Signed|-550|1150|0.1|°C|Degrees ( °C ), -55 - +115,\nif 850 – Sensor not ready\n\nif 2000 – Value read error\n\nif 3000 – Not connected\n\nif 4000 – ID failed\n\nif 5000 – same as 850|\n\nFMBXXX\n\n|Permanent I/O elements
75|Dallas Temperature 4|4|Signed|-550|1150|0.1|°C|Degrees ( °C ), -55 - +115,\nif 850 – Sensor not ready\n\nif 2000 – Value read error\n\nif 3000 – Not connected\n\nif 4000 – ID failed\n\nif 5000 – same as 850|\n\nFMBXXX\n\n|Permanent I/O elements
76|Dallas Temperature ID 1|8|Unsigned|0|0xffffffffffffffff|-|-|Dallas sensor ID|\n\nFMBXXX\n\n|Permanent I/O elements
77|Dallas Temperature ID 2|8|Unsigned|0|0xffffffffffffffff|-|-|Dallas sensor ID|\n\nFMBXXX\n\n|Permanent I/O elements
79|Dallas Temperature ID 3|8|Unsigned|0|0xffffffffffffffff|-|-|Dallas sensor ID|\n\nFMBXXX\n\n|Permanent I/O elements
71|Dallas Temperature ID 4|8|Unsigned|0|0xffffffffffffffff|-|-|Dallas sensor ID|\n\nFMBXXX\n\n|Permanent I/O elements
78|iButton|8|Unsigned|0|0xffffffffffffffff|-|-|iButton ID|\n\nFMBXXX\n\n|Permanent I/O elements
207|RFID|8|Unsigned|0|0xffffffffffffffff|-|-|RFID ID|\n|Permanent I/O elements
201|LLS 1 Fuel Level|2|Signed|-4|32767|-|kvants or ltr|Fuel level measured by LLS sensor via RS232/RS485|\n|Permanent I/O elements
202|LLS 1 Temperature|1|Signed|-128|127|-|°C|Fuel temperature measured by LLS via RS232/RS485|\n|Permanent I/O elements
203|LLS 2 Fuel Level|2|Signed|-4|32767|-|kvants or ltr|Fuel level measured by LLS sensor via RS485|\n|Permanent I/O elements
204|LLS 2 Temperature|1|Signed|-128|127|-|°C|Fuel temperature measured by LLS via RS485|\n|Permanent I/O elements
210|LLS 3 Fuel Level|2|Unsigned|-4|32767|-|kvants or ltr|Fuel level measured by LLS sensor via RS485|\n|Permanent I/O elements
211|LLS 3 Temperature|1|Signed|-128|127|-|°C|Fuel temperature measured by LLS via RS485|\n|Permanent I/O elements
212|LLS 4 Fuel Level|2|Signed|-4|32767|-|kvants or ltr|Fuel level measured by LLS sensor via RS485|\n|Permanent I/O elements
213|LLS 4 Temperature|1|Signed|-128|127|-|°C|Fuel temperature measured by LLS via RS485|\n|Permanent I/O elements
214|LLS 5 Fuel Level|2|Signed|-4|32767|-|kvants or ltr|Fuel level measured by LLS sensor via RS485|\n|Permanent I/O elements
215|LLS 5 Temperature|1|Signed|-128|127|-|°C|Fuel temperature measured by LLS via RS485|\n|Permanent I/O elements
15|Eco Score|2|Unsigned|0|65535|0.01|-|Average amount of events on some distance|\n\nFMBXXX\n\n|Permanent I/O elements
113|Battery Level|1|Unsigned|0|100|-|%|Battery capacity level|\n\nFMBXXX\n\n|Permanent I/O elements
238|User ID|8|Unsigned|0|0xffffffffffffffff|-|-|MAC address of NMEA receiver device connected via Bluetooth|\n\nFMBXXX\n\n|Permanent I/O elements
237|Network Type|1|Unsigned|0|1|-|-|0 - 3G\n1 - GSM\n\n2 - 4G\n\n3 - LTE CAT M1\n\n4 - LTE CAT NB1\n\n99 - Unknown|\n\nFMBXXX\n\n|Permanent I/O elements
4|Pulse Counter Din1|4|Unsigned|0|4294967295|-|-|Counts pulses, count is reset when records are saved|\n\nFMBXXX\n\n|Permanent I/O elements
5|Pulse Counter Din2|4|Unsigned|0|4294967295|-|-|Counts pulses, count is reset when records are saved|\n\nFMBXXX\n\n|Permanent I/O elements
263|BT Status|1|Unsigned|0|4|-|-|0 - BT is disabled\n1 - BT Enabled, not device connected\n2 - Device connected, BTv3 Only\n3 - Device connected, BLE only\n4 - Device connected, BLE + BT|\n\nFMBXXX\n\n|Permanent I/O elements
264|Barcode ID|Variable|ASCII|0|32|-|-|Barcode ID|\n\nFMBXXX\n\n|
303|Instant Movement|1|Unsigned|0|1|-|-|Logic: 0/1 returns movement value|\n\nFMBXXX\n\n|Permanent I/O elements
327|UL202-02 Sensor Fuel level|2|Signed|-150|32767|0.1|mm|UL202-02 Sensor Fuel level|\n|Permanent I/O elements
483|UL202-02 Sensor Status|1|Unsigned|0|255|-|-|UL202-02 sensor status codes|\n|Permanent I/O elements
380|Digital output 3|1|Unsigned|0|1|-|-|Logic: 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
381|Ground Sense|1|Unsigned|0|1|-|-|Logic: 0/1||Permanent I/O elements
387|ISO6709 Coordinates|34|HEX|0|0x7fffffffffffffff|-|-|ISO6709 Coordinates\nLatitude, Longitude (in Degrees, Minutes and Seconds) and Altitude:\n\nIO value format: ±DDMMSS.SSSS±DDDMMSS.SSSS±AAA.AAA/|\nFMBXXX\n\n|Permanent I/O elements
636|UMTS/LTE Cell ID|4|Unsigned|0|0xFFFFFFFF|-|-||\nFMBXXX\n\n|Permanent I/O elements
403|Driver Name|35|Unsigned|-|-|-|-|Driver name extracted from card, displayed without delimiters ($ signs)|\n\nFMBXXX\n|Permanent I/O elements
404|Driver card license type|1|Unsigned|0|8|-|-|\nNone - 0\n\nB.1 license type - 1\n\nB.2 license type - 2\n\nB.3 license type - 3\n\nB.4 license type - 4\n\nT.1 license type - 5\n\nT.2 license type - 6\n\nT.3 license type - 7\n\nT.4 license type - 8\n|\n\nFMBXXX\n|Permanent I/O elements
405|Driver Gender|1|Unsigned|0|2|-|-|\nNone - 0\n\nMale - 1\n\nFemale - 2\n|\n\nFMBXXX\n|Permanent I/O elements
406|Driver Card ID|4|Unsigned|0|4294967295|-|-|\nNone - 0\n\nMale - 1\n\nFemale - 2\n|\n\nFMBXXX\n|Permanent I/O elements
407|Driver card expiration date|1|Unsigned|0|9999|-|-||\n\nFMBXXX\n|Permanent I/O elements
408|Driver Card place of issue|4|Unsigned|0|65535|-|-|Extracted from card|\n\nFMBXXX\n|Permanent I/O Elements
409|Driver Status Event|1|Unsigned|0|2|-|-|\nRegistered - 0\n\nDeregistered - 1\n\nSwapping - 2\n|\n\nFMBXXX\n|Permanent I/O elements
329|AIN Speed|2|Unsigned|0|65535|-|-||MSP500|Permanent I/O elements
500|MSP500 vendor name|40|ASCII|0|40|-|-|Name of the integrator who installed the device|MSP500|Permanent I/O elements
501|MSP500 vehicle number|40|ASCII|0|40|-|-|Vehicle number on which the device is installed|MSP500|Permanent I/O elements
502|MSP500 speed sensor|1|unsigned|0|1|-|-|Status of the speed sensor|MSP500|Permanent I/O elements
637|Wake Reason|1|Unsigned|0|1|-|-|\nTrue if device was woken by RTC alarm|\nFMB965|Permanent I/O elements
10800|EYE Temperature 1|2|Signed|-32768|32767|0.01|°C|Temperature measured by EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10801|EYE Temperature 2|2|Signed|-32768|32767|0.01|°C|Temperature measured by EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10802|EYE Temperature 3|2|Signed|-32768|32767|0.01|°C|Temperature measured by EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10803|EYE Temperature 4|2|Signed|-32768|32767|0.01|°C|Temperature measured by EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10804|EYE Humidity 1|1|Unsigned|0|100|-|%|Humidity measured by EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10805|EYE Humidity 2|1|Unsigned|0|100|-|%|Humidity measured by EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10806|EYE Humidity 3|1|Unsigned|0|100|-|%|Humidity measured by EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10807|EYE Humidity 4|1|Unsigned|0|100|-|%|Humidity measured by EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10808|EYE Magnet 1|1|Unsigned|0|1|-|-|Magnet measured by EYE Sensor by EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10809|EYE Magnet 2|1|Unsigned|0|1|-|-|Magnet measured by EYE Sensor by EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10810|EYE Magnet 3|1|Unsigned|0|1|-|-|Magnet measured by EYE Sensor by EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10811|EYE Magnet 4|1|Unsigned|0|1|-|-|Magnet measured by EYE Sensor by EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10812|EYE Movement 1|1|Unsigned|0|1|-|-|Movement state measure by EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10813|EYE Movement 2|1|Unsigned|0|1|-|-|Movement state measure by EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10814|EYE Movement 3|1|Unsigned|0|1|-|-|Movement state measure by EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10815|EYE Movement 4|1|Unsigned|0|1|-|-|Movement state measure by EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10816|EYE Pitch 1|1|Signed|-90|90|-|-|Pitch angle measured by EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10817|EYE Pitch 2|1|Signed|-90|90|-|-|Pitch angle measured by EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10818|EYE Pitch 3|1|Signed|-90|90|-|-|Pitch angle measured by EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10819|EYE Pitch 4|1|Signed|-90|90|-|-|Pitch angle measured by EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10820|EYE Low Battery 1|1|Unsigned|0|1|-|-|Low Battery indication for EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10821|EYE Low Battery 2|1|Unsigned|0|1|-|-|Low Battery indication for EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10822|EYE Low Battery 3|1|Unsigned|0|1|-|-|Low Battery indication for EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10823|EYE Low Battery 4|1|Unsigned|0|1|-|-|Low Battery indication for EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10824|EYE Battery Voltage 1|2|Unsigned|0|65535|-|-|Battery Voltage of EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10825|EYE Battery Voltage 2|2|Unsigned|0|65535|-|-|Battery Voltage of EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10826|EYE Battery Voltage 3|2|Unsigned|0|65535|-|-|Battery Voltage of EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10827|EYE Battery Voltage 4|2|Unsigned|0|65535|-|-|Battery Voltage of EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10832|EYE Roll 1|2|Signed|-180|180|-|-|Roll angle measured by EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10833|EYE Roll 2|2|Signed|-180|180|-|-|Roll angle measured by EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10834|EYE Roll 3|2|Signed|-180|180|-|-|Roll angle measured by EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10835|EYE Roll 4|2|Signed|-180|180|-|-|Roll angle measured by EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10836|EYE Movement count 1|2|Unsigned|0|32767|-|-|Movement count measure by EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10837|EYE Movement count 2|2|Unsigned|0|32767|-|-|Movement count measure by EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10838|EYE Movement count 3|2|Unsigned|0|32767|-|-|Movement count measure by EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10839|EYE Movement count 4|2|Unsigned|0|32767|-|-|Movement count measure by EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10840|EYE Magnet count 1|2|Unsigned|0|65535|-|-|Magnet trigger count measure by EYE Sensor 1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10841|EYE Magnet count 2|2|Unsigned|0|65535|-|-|Magnet trigger count measure by EYE Sensor 2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10842|EYE Magnet count 3|2|Unsigned|0|65535|-|-|Magnet trigger count measure by EYE Sensor 3|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
10843|EYE Magnet count 4|2|Unsigned|0|65535|-|-|Magnet trigger count measure by EYE Sensor 4|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
383|AXL Calibration Status|1|Unsigned|0|3|-|-|Shows calibration status: 0- no calibration, 1- calibrated, 2- not configured, 3- fully calibrated|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
451|BLE RFID #1|8|HEX|0|0xffffffffffffffff|-|-|BLE NBL-T RFID ID for Connetionless mode #1 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
452|BLE RFID #2|8|HEX|0|0xffffffffffffffff|-|-|BLE NBL-T RFID ID for Connetionless mode #2 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
453|BLE RFID #3|8|HEX|0|0xffffffffffffffff|-|-|BLE NBL-T RFID ID for Connetionless mode #3 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
454|BLE RFID #4|8|HEX|0|0xffffffffffffffff|-|-|BLE NBL-T RFID ID for Connetionless mode #4 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
455|BLE Button 1 state #1|1|Unsigned|0|1|-|-|BLE NBL-T Button 1 status for Connetionless mode #1 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
456|BLE Button 1 state #2|1|Unsigned|0|1|-|-|BLE NBL-T Button 1 status for Connetionless mode #2 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
457|BLE Button 1 state #3|1|Unsigned|0|1|-|-|BLE NBL-T Button 1 status for Connetionless mode #3 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
458|BLE Button 1 state #4|1|Unsigned|0|1|-|-|BLE NBL-T Button 1 status for Connetionless mode #4 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
459|BLE Button 2 state #1|1|Unsigned|0|1|-|-|BLE NBL-T Button 2 status for Connetionless mode #1 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
460|BLE Button 2 state #2|1|Unsigned|0|1|-|-|BLE NBL-T Button 2 status for Connetionless mode #2 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
461|BLE Button 2 state #3|1|Unsigned|0|1|-|-|BLE NBL-T Button 2 status for Connetionless mode #3 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
462|BLE Button 2 state #4|1|Unsigned|0|1|-|-|BLE NBL-T Button 2 status for Connetionless mode #4 slot|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
622|Frequency DIN1|2|Unsigned|0|65535|0.1|Hz|Frequency of input signal present on DIN1|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
623|Frequency DIN2|2|Unsigned|0|65535|0.1|Hz|Frequency of input signal present on DIN2|\n\nFMBXXX [Expand]\n\n|Permanent I/O elements
1148|Connectivity quality|4|Unsigned|0|4294967295|-|-|Connectivity Quality element which provides detailed signal quality information in LTE (only RSSI), eMTC and NB-IoT modes. https://wiki.teltonika-gps.com/view/Mobile_Signal_Strength_Recommendations#4G_(LTE)|\n\nFMBXXX [Expand]\nFMM130\nFMM230\nFMM920\n|Permanent I/O elements
155|Geofence zone 01|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
156|Geofence zone 02|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
157|Geofence zone 03|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
158|Geofence zone 04|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
159|Geofence zone 05|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
61|Geofence zone 06|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
62|Geofence zone 07|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
63|Geofence zone 08|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
64|Geofence zone 09|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
65|Geofence zone 10|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
70|Geofence zone 11|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
88|Geofence zone 12|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
91|Geofence zone 13|1|Unsigned|0|3|-|-|\n0 – target left zone\n\n1 – target entered zone\n\n2 – over speeding end\n\n3 – over speeding start|\n\nFMBXXX\n\n|Eventual I/O elements
